Location,Date,Total_Confirmed,Total_Deaths,Daily_Confirmed,Daily_Deaths
Andorra,2021-04-30,13232,125,34,0
Andorra,2021-04-29,13198,125,50,0
Andorra,2021-04-28,13148,125,27,1
Andorra,2021-04-27,13121,124,38,0
Andorra,2021-04-26,13083,124,23,0
Andorra,2021-04-25,13060,124,36,0
Andorra,2021-04-24,13024,124,17,1
Andorra,2021-04-23,13007,123,65,0
Andorra,2021-04-22,12942,123,25,0
Andorra,2021-04-21,12917,123,43,0
Andorra,2021-04-20,12874,123,69,0
Andorra,2021-04-19,12805,123,0,0
Andorra,2021-04-18,12805,123,34,0
Andorra,2021-04-17,12771,123,59,0
Andorra,2021-04-16,12712,123,71,2
Andorra,2021-04-15,12641,121,0,0
Andorra,2021-04-14,12641,121,27,0
Andorra,2021-04-13,12614,121,33,0
Andorra,2021-04-12,12581,121,36,1
Andorra,2021-04-11,12545,120,48,0
Andorra,2021-04-10,12497,120,41,0
Andorra,2021-04-09,12456,120,47,0
Andorra,2021-04-08,12409,120,46,1
Andorra,2021-04-07,12363,119,35,2
Andorra,2021-04-06,12328,117,42,0
Andorra,2021-04-05,12286,117,55,0
Andorra,2021-04-04,12231,117,57,0
Andorra,2021-04-03,12174,117,59,1
Andorra,2021-04-02,12115,116,62,1
Andorra,2021-04-01,12053,115,43,0
Angola,2021-04-30,26652,596,221,2
Angola,2021-04-29,26431,594,263,3
Angola,2021-04-28,26168,591,226,4
Angola,2021-04-27,25942,587,232,4
Angola,2021-04-26,25710,583,101,4
Angola,2021-04-25,25609,579,117,2
Angola,2021-04-24,25492,577,213,3
Angola,2021-04-23,25279,574,228,2
Angola,2021-04-22,25051,572,168,2
Angola,2021-04-21,24883,570,222,5
Angola,2021-04-20,24661,565,143,2
Angola,2021-04-19,24518,563,129,2
Angola,2021-04-18,24389,561,89,0
Angola,2021-04-17,24300,561,178,1
Angola,2021-04-16,24122,560,171,3
Angola,2021-04-15,23951,557,110,0
Angola,2021-04-14,23841,557,144,3
Angola,2021-04-13,23697,554,148,0
Angola,2021-04-12,23549,554,92,1
Angola,2021-04-11,23457,553,126,3
Angola,2021-04-10,23331,550,89,1
Angola,2021-04-09,23242,549,134,0
Angola,2021-04-08,23108,549,98,2
Angola,2021-04-07,23010,547,125,0
Angola,2021-04-06,22885,547,168,4
Angola,2021-04-05,22717,543,86,1
Angola,2021-04-04,22631,542,52,2
Angola,2021-04-03,22579,540,112,2
Angola,2021-04-02,22467,538,68,0
Angola,2021-04-01,22399,538,88,1
Antigua and Barbuda,2021-04-30,1232,32,0,0
Antigua and Barbuda,2021-04-29,1232,32,0,0
Antigua and Barbuda,2021-04-28,1232,32,0,0
Antigua and Barbuda,2021-04-27,1232,32,4,0
Antigua and Barbuda,2021-04-26,1228,32,1,1
Antigua and Barbuda,2021-04-25,1227,31,0,0
Antigua and Barbuda,2021-04-24,1227,31,5,0
Antigua and Barbuda,2021-04-23,1222,31,5,0
Antigua and Barbuda,2021-04-22,1217,31,0,0
Antigua and Barbuda,2021-04-21,1217,31,0,0
Antigua and Barbuda,2021-04-20,1217,31,0,0
Antigua and Barbuda,2021-04-19,1217,31,1,0
Antigua and Barbuda,2021-04-18,1216,31,0,0
Antigua and Barbuda,2021-04-17,1216,31,3,0
Antigua and Barbuda,2021-04-16,1213,31,4,0
Antigua and Barbuda,2021-04-15,1209,31,8,0
Antigua and Barbuda,2021-04-14,1201,31,0,0
Antigua and Barbuda,2021-04-13,1201,31,3,1
Antigua and Barbuda,2021-04-12,1198,30,0,0
Antigua and Barbuda,2021-04-11,1198,30,1,0
Antigua and Barbuda,2021-04-10,1197,30,15,0
Antigua and Barbuda,2021-04-09,1182,30,2,1
Antigua and Barbuda,2021-04-08,1180,29,3,0
Antigua and Barbuda,2021-04-07,1177,29,4,0
Antigua and Barbuda,2021-04-06,1173,29,0,0
Antigua and Barbuda,2021-04-05,1173,29,3,1
Antigua and Barbuda,2021-04-04,1170,28,0,0
Antigua and Barbuda,2021-04-03,1170,28,18,0
Antigua and Barbuda,2021-04-02,1152,28,5,0
Antigua and Barbuda,2021-04-01,1147,28,11,0
Argentina,2021-04-30,2977363,63865,22420,357
Argentina,2021-04-29,2954943,63508,26053,561
Argentina,2021-04-28,2928890,62947,23718,348
Argentina,2021-04-27,2905172,62599,25495,512
Argentina,2021-04-26,2879677,62087,18793,443
Argentina,2021-04-25,2860884,61644,15012,170
Argentina,2021-04-24,2845872,61474,21220,298
Argentina,2021-04-23,2824652,61176,27884,556
Argentina,2021-04-22,2796768,60620,27216,537
Argentina,2021-04-21,2769552,60083,25932,291
Argentina,2021-04-20,2743620,59792,29145,316
Argentina,2021-04-19,2714475,59476,20461,248
Argentina,2021-04-18,2694014,59228,16267,64
Argentina,2021-04-17,2677747,59164,19119,80
Argentina,2021-04-16,2658628,59084,29472,159
Argentina,2021-04-15,2629156,58925,24999,383
Argentina,2021-04-14,2604157,58542,25157,368
Argentina,2021-04-13,2579000,58174,27001,217
Argentina,2021-04-12,2551999,57957,19437,178
Argentina,2021-04-11,2532562,57779,15262,132
Argentina,2021-04-10,2517300,57647,19419,297
Argentina,2021-04-09,2497881,57350,24130,228
Argentina,2021-04-08,2473751,57122,23683,290
Argentina,2021-04-07,2450068,56832,22039,198
Argentina,2021-04-06,2428029,56634,20870,163
Argentina,2021-04-05,2407159,56471,13667,272
Argentina,2021-04-04,2393492,56199,9955,93
Argentina,2021-04-03,2383537,56106,10384,83
Argentina,2021-04-02,2373153,56023,9902,82
Argentina,2021-04-01,2363251,55941,14430,83
Armenia,2021-04-30,216064,4108,536,21
Armenia,2021-04-29,215528,4087,656,16
Armenia,2021-04-28,214872,4071,808,13
Armenia,2021-04-27,214064,4058,595,18
Armenia,2021-04-26,213469,4040,181,22
Armenia,2021-04-25,213288,4018,410,17
Armenia,2021-04-24,212878,4001,764,17
Armenia,2021-04-23,212114,3984,715,15
Armenia,2021-04-22,211399,3969,881,25
Armenia,2021-04-21,210518,3944,1033,25
Armenia,2021-04-20,209485,3919,667,24
Armenia,2021-04-19,208818,3895,298,17
Armenia,2021-04-18,208520,3878,547,19
Armenia,2021-04-17,207973,3859,870,24
Armenia,2021-04-16,207103,3835,961,18
Armenia,2021-04-15,206142,3817,1014,23
Armenia,2021-04-14,205128,3794,1075,19
Armenia,2021-04-13,204053,3775,726,22
Armenia,2021-04-12,203327,3753,510,18
Armenia,2021-04-11,202817,3735,650,15
Armenia,2021-04-10,202167,3720,1009,23
Armenia,2021-04-09,201158,3697,1029,22
Armenia,2021-04-08,200129,3675,1231,28
Armenia,2021-04-07,198898,3647,1025,20
Armenia,2021-04-06,197873,3627,760,13
Armenia,2021-04-05,197113,3614,479,22
Armenia,2021-04-04,196634,3592,590,17
Armenia,2021-04-03,196044,3575,1192,23
Armenia,2021-04-02,194852,3552,1116,19
Armenia,2021-04-01,193736,3533,1097,18
Australia,2021-04-30,29811,910,13,0
Australia,2021-04-29,29798,910,25,0
Australia,2021-04-28,29773,910,23,0
Australia,2021-04-27,29750,910,33,0
Australia,2021-04-26,29717,910,37,0
Australia,2021-04-25,29680,910,17,0
Australia,2021-04-24,29663,910,10,0
Australia,2021-04-23,29653,910,15,0
Australia,2021-04-22,29638,910,44,0
Australia,2021-04-21,29594,910,18,0
Australia,2021-04-20,29576,910,20,0
Australia,2021-04-19,29556,910,23,0
Australia,2021-04-18,29533,910,14,0
Australia,2021-04-17,29519,910,20,0
Australia,2021-04-16,29499,910,15,0
Australia,2021-04-15,29484,910,15,0
Australia,2021-04-14,29469,910,19,0
Australia,2021-04-13,29450,910,21,0
Australia,2021-04-12,29429,910,10,1
Australia,2021-04-11,29419,909,14,0
Australia,2021-04-10,29405,909,9,0
Australia,2021-04-09,29396,909,6,0
Australia,2021-04-08,29390,909,5,0
Australia,2021-04-07,29385,909,6,0
Australia,2021-04-06,29379,909,14,0
Australia,2021-04-05,29365,909,8,0
Australia,2021-04-04,29357,909,9,0
Australia,2021-04-03,29348,909,7,0
Australia,2021-04-02,29341,909,8,0
Australia,2021-04-01,29333,909,11,0
Austria,2021-04-30,618870,10205,2131,26
Austria,2021-04-29,616739,10179,2229,27
Austria,2021-04-28,614510,10152,2340,26
Austria,2021-04-27,612170,10126,1625,28
Austria,2021-04-26,610545,10098,1566,11
Austria,2021-04-25,608979,10087,2025,17
Austria,2021-04-24,606954,10070,2131,15
Austria,2021-04-23,604823,10055,2329,29
Austria,2021-04-22,602494,10026,2405,29
Austria,2021-04-21,600089,9997,2523,38
Austria,2021-04-20,597566,9959,2026,37
Austria,2021-04-19,595540,9922,2117,24
Austria,2021-04-18,593423,9898,2076,28
Austria,2021-04-17,591347,9870,2048,27
Austria,2021-04-16,589299,9843,2416,30
Austria,2021-04-15,586883,9813,2678,34
Austria,2021-04-14,584205,9779,2942,31
Austria,2021-04-13,581263,9748,2313,42
Austria,2021-04-12,578950,9706,1943,19
Austria,2021-04-11,577007,9687,2252,25
Austria,2021-04-10,574755,9662,3139,38
Austria,2021-04-09,571616,9624,2702,38
Austria,2021-04-08,568914,9586,2906,40
Austria,2021-04-07,566008,9546,3101,29
Austria,2021-04-06,562907,9517,1935,35
Austria,2021-04-05,560972,9482,2217,33
Austria,2021-04-04,558755,9449,2743,15
Austria,2021-04-03,556012,9434,3283,37
Austria,2021-04-02,552729,9397,3137,29
Austria,2021-04-01,549592,9368,3363,29
Azerbaijan,2021-04-30,319109,4517,1196,27
Azerbaijan,2021-04-29,317913,4490,1392,29
Azerbaijan,2021-04-28,316521,4461,1402,32
Azerbaijan,2021-04-27,315119,4429,1307,27
Azerbaijan,2021-04-26,313812,4402,806,31
Azerbaijan,2021-04-25,313006,4371,1541,29
Azerbaijan,2021-04-24,311465,4342,1676,35
Azerbaijan,2021-04-23,309789,4307,1809,33
Azerbaijan,2021-04-22,307980,4274,2047,39
Azerbaijan,2021-04-21,305933,4235,2075,32
Azerbaijan,2021-04-20,303858,4203,2197,34
Azerbaijan,2021-04-19,301661,4169,995,29
Azerbaijan,2021-04-18,300666,4140,2144,33
Azerbaijan,2021-04-17,298522,4107,2148,30
Azerbaijan,2021-04-16,296374,4077,2163,32
Azerbaijan,2021-04-15,294211,4045,2317,36
Azerbaijan,2021-04-14,291894,4009,2293,31
Azerbaijan,2021-04-13,289601,3978,2457,34
Azerbaijan,2021-04-12,287144,3944,1151,29
Azerbaijan,2021-04-11,285993,3915,2414,36
Azerbaijan,2021-04-10,283579,3879,2192,33
Azerbaijan,2021-04-09,281387,3846,2206,35
Azerbaijan,2021-04-08,279181,3811,2717,31
Azerbaijan,2021-04-07,276464,3780,2595,37
Azerbaijan,2021-04-06,273869,3743,2035,32
Azerbaijan,2021-04-05,271834,3711,1099,34
Azerbaijan,2021-04-04,270735,3677,2561,29
Azerbaijan,2021-04-03,268174,3648,1852,31
Azerbaijan,2021-04-02,266322,3617,2361,24
Azerbaijan,2021-04-01,263961,3593,2248,26
Bahamas,2021-04-30,10453,199,104,1
Bahamas,2021-04-29,10349,198,0,0
Bahamas,2021-04-28,10349,198,129,0
Bahamas,2021-04-27,10220,198,0,0
Bahamas,2021-04-26,10220,198,170,2
Bahamas,2021-04-25,10050,196,74,0
Bahamas,2021-04-24,9976,196,0,0
Bahamas,2021-04-23,9976,196,108,2
Bahamas,2021-04-22,9868,194,0,0
Bahamas,2021-04-21,9868,194,77,0
Bahamas,2021-04-20,9791,194,0,0
Bahamas,2021-04-19,9791,194,157,0
Bahamas,2021-04-18,9634,194,0,0
Bahamas,2021-04-17,9634,194,0,0
Bahamas,2021-04-16,9634,194,129,4
Bahamas,2021-04-15,9505,190,0,0
Bahamas,2021-04-14,9505,190,0,0
Bahamas,2021-04-13,9505,190,45,0
Bahamas,2021-04-12,9460,190,96,1
Bahamas,2021-04-11,9364,189,0,0
Bahamas,2021-04-10,9364,189,0,0
Bahamas,2021-04-09,9364,189,25,0
Bahamas,2021-04-08,9339,189,43,0
Bahamas,2021-04-07,9296,189,26,0
Bahamas,2021-04-06,9270,189,99,1
Bahamas,2021-04-05,9171,188,0,0
Bahamas,2021-04-04,9171,188,0,0
Bahamas,2021-04-03,9171,188,0,0
Bahamas,2021-04-02,9171,188,0,0
Bahamas,2021-04-01,9171,188,52,0
Bahrain,2021-04-30,176934,646,1182,7
Bahrain,2021-04-29,175752,639,1093,7
Bahrain,2021-04-28,174659,632,1111,6
Bahrain,2021-04-27,173548,626,972,1
Bahrain,2021-04-26,172576,625,1206,1
Bahrain,2021-04-25,171370,624,1035,4
Bahrain,2021-04-24,170335,620,1081,3
Bahrain,2021-04-23,169254,617,1053,3
Bahrain,2021-04-22,168201,614,1036,7
Bahrain,2021-04-21,167165,607,1008,2
Bahrain,2021-04-20,166157,605,1039,5
Bahrain,2021-04-19,165118,600,1008,6
Bahrain,2021-04-18,164110,594,997,6
Bahrain,2021-04-17,163113,588,1024,7
Bahrain,2021-04-16,162089,581,1155,7
Bahrain,2021-04-15,160934,574,970,5
Bahrain,2021-04-14,159964,569,1175,3
Bahrain,2021-04-13,158789,566,1060,4
Bahrain,2021-04-12,157729,562,1267,5
Bahrain,2021-04-11,156462,557,1060,3
Bahrain,2021-04-10,155402,554,1122,4
Bahrain,2021-04-09,154280,550,1206,2
Bahrain,2021-04-08,153074,548,1143,1
Bahrain,2021-04-07,151931,547,1120,2
Bahrain,2021-04-06,150811,545,1020,4
Bahrain,2021-04-05,149791,541,974,5
Bahrain,2021-04-04,148817,536,1047,5
Bahrain,2021-04-03,147770,531,1316,4
Bahrain,2021-04-02,146454,527,1074,4
Bahrain,2021-04-01,145380,523,935,2
Bangladesh,2021-04-30,759132,11450,2177,57
Bangladesh,2021-04-29,756955,11393,2341,88
Bangladesh,2021-04-28,754614,11305,2955,77
Bangladesh,2021-04-27,751659,11228,3031,78
Bangladesh,2021-04-26,748628,11150,3306,97
Bangladesh,2021-04-25,745322,11053,2922,101
Bangladesh,2021-04-24,742400,10952,2697,83
Bangladesh,2021-04-23,739703,10869,3629,88
Bangladesh,2021-04-22,736074,10781,4014,98
Bangladesh,2021-04-21,732060,10683,4280,95
Bangladesh,2021-04-20,727780,10588,4559,91
Bangladesh,2021-04-19,723221,10497,4271,112
Bangladesh,2021-04-18,718950,10385,3698,102
Bangladesh,2021-04-17,715252,10283,3473,101
Bangladesh,2021-04-16,711779,10182,4417,101
Bangladesh,2021-04-15,707362,10081,4192,94
Bangladesh,2021-04-14,703170,9987,5185,96
Bangladesh,2021-04-13,697985,9891,6028,69
Bangladesh,2021-04-12,691957,9822,7201,83
Bangladesh,2021-04-11,684756,9739,5819,78
Bangladesh,2021-04-10,678937,9661,5343,77
Bangladesh,2021-04-09,673594,9584,7462,63
Bangladesh,2021-04-08,666132,9521,6854,74
Bangladesh,2021-04-07,659278,9447,7626,63
Bangladesh,2021-04-06,651652,9384,7213,66
Bangladesh,2021-04-05,644439,9318,7075,52
Bangladesh,2021-04-04,637364,9266,7087,53
Bangladesh,2021-04-03,630277,9213,5683,58
Bangladesh,2021-04-02,624594,9155,6830,50
Bangladesh,2021-04-01,617764,9105,6469,59
Barbados,2021-04-30,3855,44,17,0
Barbados,2021-04-29,3838,44,7,0
Barbados,2021-04-28,3831,44,3,0
Barbados,2021-04-27,3828,44,3,0
Barbados,2021-04-26,3825,44,1,0
Barbados,2021-04-25,3824,44,4,0
Barbados,2021-04-24,3820,44,0,0
Barbados,2021-04-23,3820,44,14,0
Barbados,2021-04-22,3806,44,9,0
Barbados,2021-04-21,3797,44,4,0
Barbados,2021-04-20,3793,44,9,0
Barbados,2021-04-19,3784,44,3,0
Barbados,2021-04-18,3781,44,8,0
Barbados,2021-04-17,3773,44,8,0
Barbados,2021-04-16,3765,44,12,0
Barbados,2021-04-15,3753,44,9,0
Barbados,2021-04-14,3744,44,4,0
Barbados,2021-04-13,3740,44,6,0
Barbados,2021-04-12,3734,44,4,0
Barbados,2021-04-11,3730,44,11,0
Barbados,2021-04-10,3719,44,11,0
Barbados,2021-04-09,3708,44,4,0
Barbados,2021-04-08,3704,44,13,1
Barbados,2021-04-07,3691,43,0,0
Barbados,2021-04-06,3691,43,12,0
Barbados,2021-04-05,3679,43,11,0
Barbados,2021-04-04,3668,43,0,0
Barbados,2021-04-03,3668,43,3,1
Barbados,2021-04-02,3665,42,6,0
Barbados,2021-04-01,3659,42,7,0
Belarus,2021-04-30,358738,2542,1505,10
Belarus,2021-04-29,357233,2532,1309,10
Belarus,2021-04-28,355924,2522,1255,10
Belarus,2021-04-27,354669,2512,823,10
Belarus,2021-04-26,353846,2502,896,9
Belarus,2021-04-25,352950,2493,1276,10
Belarus,2021-04-24,351674,2483,1453,10
Belarus,2021-04-23,350221,2473,1735,10
Belarus,2021-04-22,348486,2463,1170,10
Belarus,2021-04-21,347316,2453,1318,10
Belarus,2021-04-20,345998,2443,888,10
Belarus,2021-04-19,345110,2433,887,10
Belarus,2021-04-18,344223,2423,1300,10
Belarus,2021-04-17,342923,2413,1384,10
Belarus,2021-04-16,341539,2403,1516,10
Belarus,2021-04-15,340023,2393,1222,10
Belarus,2021-04-14,338801,2383,1166,10
Belarus,2021-04-13,337635,2373,754,10
Belarus,2021-04-12,336881,2363,843,9
Belarus,2021-04-11,336038,2354,1175,10
Belarus,2021-04-10,334863,2344,1433,10
Belarus,2021-04-09,333430,2334,1622,10
Belarus,2021-04-08,331808,2324,1272,10
Belarus,2021-04-07,330536,2314,1278,10
Belarus,2021-04-06,329258,2304,968,10
Belarus,2021-04-05,328290,2294,986,9
Belarus,2021-04-04,327304,2285,1239,9
Belarus,2021-04-03,326065,2276,1371,9
Belarus,2021-04-02,324694,2267,1651,10
Belarus,2021-04-01,323043,2257,1236,10
Belgium,2021-04-30,990229,24230,3607,45
Belgium,2021-04-29,986622,24185,3663,45
Belgium,2021-04-28,982959,24140,3925,36
Belgium,2021-04-27,979034,24104,2946,39
Belgium,2021-04-26,976088,24065,1670,41
Belgium,2021-04-25,974418,24024,2377,34
Belgium,2021-04-24,972041,23990,3934,36
Belgium,2021-04-23,968107,23954,3581,45
Belgium,2021-04-22,964526,23909,4357,42
Belgium,2021-04-21,960169,23867,5113,33
Belgium,2021-04-20,955056,23834,3430,52
Belgium,2021-04-19,951626,23782,1630,35
Belgium,2021-04-18,949996,23747,2996,29
Belgium,2021-04-17,947000,23718,3787,37
Belgium,2021-04-16,943213,23681,3904,45
Belgium,2021-04-15,939309,23636,3993,33
Belgium,2021-04-14,935316,23603,4713,37
Belgium,2021-04-13,930603,23566,3374,63
Belgium,2021-04-12,927229,23503,1753,30
Belgium,2021-04-11,925476,23473,2989,45
Belgium,2021-04-10,922487,23428,4570,38
Belgium,2021-04-09,917917,23390,4860,42
Belgium,2021-04-08,913057,23348,4845,47
Belgium,2021-04-07,908212,23301,3539,54
Belgium,2021-04-06,904673,23247,1709,45
Belgium,2021-04-05,902964,23202,1968,33
Belgium,2021-04-04,900996,23169,3522,39
Belgium,2021-04-03,897474,23130,4889,47
Belgium,2021-04-02,892585,23083,4665,38
Belgium,2021-04-01,887920,23045,5467,29
Belize,2021-04-30,12668,323,22,0
Belize,2021-04-29,12646,323,7,0
Belize,2021-04-28,12639,323,8,1
Belize,2021-04-27,12631,322,7,0
Belize,2021-04-26,12624,322,25,1
Belize,2021-04-25,12599,321,0,0
Belize,2021-04-24,12599,321,0,0
Belize,2021-04-23,12599,321,3,1
Belize,2021-04-22,12596,320,11,2
Belize,2021-04-21,12585,318,17,0
Belize,2021-04-20,12568,318,10,0
Belize,2021-04-19,12558,318,20,0
Belize,2021-04-18,12538,318,0,0
Belize,2021-04-17,12538,318,0,0
Belize,2021-04-16,12538,318,9,0
Belize,2021-04-15,12529,318,7,0
Belize,2021-04-14,12522,318,9,0
Belize,2021-04-13,12513,318,10,0
Belize,2021-04-12,12503,318,18,0
Belize,2021-04-11,12485,318,0,0
Belize,2021-04-10,12485,318,0,0
Belize,2021-04-09,12485,318,0,0
Belize,2021-04-08,12485,318,0,0
Belize,2021-04-07,12485,318,8,0
Belize,2021-04-06,12477,318,21,1
Belize,2021-04-05,12456,317,0,0
Belize,2021-04-04,12456,317,0,0
Belize,2021-04-03,12456,317,0,0
Belize,2021-04-02,12456,317,0,0
Belize,2021-04-01,12456,317,0,0
Benin,2021-04-30,7821,99,0,0
Benin,2021-04-29,7821,99,0,0
Benin,2021-04-28,7821,99,101,2
Benin,2021-04-27,7720,97,0,0
Benin,2021-04-26,7720,97,0,0
Benin,2021-04-25,7720,97,0,0
Benin,2021-04-24,7720,97,0,0
Benin,2021-04-23,7720,97,0,0
Benin,2021-04-22,7720,97,0,0
Benin,2021-04-21,7720,97,0,0
Benin,2021-04-20,7720,97,109,2
Benin,2021-04-19,7611,95,0,0
Benin,2021-04-18,7611,95,0,0
Benin,2021-04-17,7611,95,0,0
Benin,2021-04-16,7611,95,0,0
Benin,2021-04-15,7611,95,0,0
Benin,2021-04-14,7611,95,96,2
Benin,2021-04-13,7515,93,0,0
Benin,2021-04-12,7515,93,0,0
Benin,2021-04-11,7515,93,0,0
Benin,2021-04-10,7515,93,0,0
Benin,2021-04-09,7515,93,0,0
Benin,2021-04-08,7515,93,202,0
Benin,2021-04-07,7313,93,0,0
Benin,2021-04-06,7313,93,0,0
Benin,2021-04-05,7313,93,0,0
Benin,2021-04-04,7313,93,0,0
Benin,2021-04-03,7313,93,0,0
Benin,2021-04-02,7313,93,0,0
Benin,2021-04-01,7313,93,213,3
Bhutan,2021-04-30,1074,1,8,0
Bhutan,2021-04-29,1066,1,7,0
Bhutan,2021-04-28,1059,1,6,0
Bhutan,2021-04-27,1053,1,27,0
Bhutan,2021-04-26,1026,1,4,0
Bhutan,2021-04-25,1022,1,4,0
Bhutan,2021-04-24,1018,1,10,0
Bhutan,2021-04-23,1008,1,16,0
Bhutan,2021-04-22,992,1,6,0
Bhutan,2021-04-21,986,1,20,0
Bhutan,2021-04-20,966,1,5,0
Bhutan,2021-04-19,961,1,4,0
Bhutan,2021-04-18,957,1,5,0
Bhutan,2021-04-17,952,1,11,0
Bhutan,2021-04-16,941,1,7,0
Bhutan,2021-04-15,934,1,5,0
Bhutan,2021-04-14,929,1,2,0
Bhutan,2021-04-13,927,1,6,0
Bhutan,2021-04-12,921,1,3,0
Bhutan,2021-04-11,918,1,8,0
Bhutan,2021-04-10,910,1,4,0
Bhutan,2021-04-09,906,1,6,0
Bhutan,2021-04-08,900,1,0,0
Bhutan,2021-04-07,900,1,4,0
Bhutan,2021-04-06,896,1,5,0
Bhutan,2021-04-05,891,1,0,0
Bhutan,2021-04-04,891,1,0,0
Bhutan,2021-04-03,891,1,2,0
Bhutan,2021-04-02,889,1,3,0
Bhutan,2021-04-01,886,1,13,0
Bolivia,2021-04-30,303732,12951,1901,31
Bolivia,2021-04-29,301831,12920,0,0
Bolivia,2021-04-28,301831,12920,1573,35
Bolivia,2021-04-27,300258,12885,1480,24
Bolivia,2021-04-26,298778,12861,1119,37
Bolivia,2021-04-25,297659,12824,474,12
Bolivia,2021-04-24,297185,12812,1293,29
Bolivia,2021-04-23,295892,12783,1501,25
Bolivia,2021-04-22,294391,12758,1330,27
Bolivia,2021-04-21,293061,12731,1386,36
Bolivia,2021-04-20,291675,12695,1313,29
Bolivia,2021-04-19,290362,12666,1296,18
Bolivia,2021-04-18,289066,12648,1706,23
Bolivia,2021-04-17,287360,12625,0,0
Bolivia,2021-04-16,287360,12625,1246,22
Bolivia,2021-04-15,286114,12603,823,84
Bolivia,2021-04-14,285291,12519,1108,23
Bolivia,2021-04-13,284183,12496,1099,27
Bolivia,2021-04-12,283084,12469,989,18
Bolivia,2021-04-11,282095,12451,525,9
Bolivia,2021-04-10,281570,12442,921,14
